;title;author;pub_house;price;link
156;Тайна отца Брауна;Честертон Гилберт Кит;Издательский дом Мещерякова;248;/books/609525/
157;Микки-7;Эштон Эдвард;Аркадия;691;/books/848214/
158;Королевская кровь. Проклятый трон. Связанные судьбы;Котова Ирина Владимировна;Эксмо;959;/books/935869/
159;Святые Спасения;Гамильтон Питер;Фантастика;1159;/books/942267/
160;Всё о Манюне;Абгарян Наринэ Юрьевна;Астрель;1356;/books/343799/
161;Момент истины. В августе сорок четвертого;Богомолов Владимир Осипович;Азбука;855;/books/914135/
162;Продажное королевство;Бардуго Ли;АСТ;669;/books/639917/
163;Поступь Слейпнира;Трофимов Ерофей;АСТ;1031;/books/942899/
164;Жизнь мальчишки;Маккаммон Роберт;Азбука;843;/books/917797/
165;Поместье с привидениями;Мартова Людмила;Эксмо;437;/books/947276/
166;Проклятые короли. Негоже лилиям прясть. Французская волчица;Дрюон Морис;Иностранка;965;/books/939706/
167;Проклятые короли. Железный король. Узница Шато-Гайара. Яд и корона;Дрюон Морис;Иностранка;965;/books/935227/
168;Ходящие в ночи. Книга 3. Пленники раздора;Харитонова, Казакова;Т8;737;/books/936752/
169;Гиперболоид инженера Гарина;Толстой Алексей Николаевич;Верже;3000;/books/654919/
170;"Японские мифы. От кицунэ и ёкаев до ""Звонка"" и ""Наруто""";Фридман Джошуа;Манн, Иванов и Фербер;899;/books/860378/
171;Собрание сочинений в пяти томах;Довлатов Сергей Донатович;Азбука;3698;/books/917575/
172;Лебединая дорога;Семенова Мария Васильевна;Азбука;963;/books/949441/
173;Восход Черного Солнца и другие галактические одиссеи;Каттнер Генри;Азбука;1302;/books/941251/
174;Избранные произведения. Стихотворения и поэмы;Некрасов Николай Алексеевич;Речь;1028;/books/624025/
175;Кровь богов;Иггульден Конн;Азбука;843;/books/945255/
176;Любовь моя, Анайя;Миллер Ксандер;Аркадия;206;/books/801291/
177;Воскресение;Толстой Лев Николаевич;Речь;954;/books/620394/
178;Арианна и Царство Двух Миров;Рэй Анна;Альфа-книга;84;/books/580167/
179;Дон Кавелли и мертвый кардинал;Конти Дэвид;Аркадия;603;/books/860554/
180;Галерея женщин. Цепи счастья;Драйзер Теодор;Иностранка;855;/books/950196/
181;Барбизон. В отеле только девушки;Брен Паулина;Рипол-Классик;915;/books/910579/
182;Тень и искры;Арментроут Дженнифер;АСТ;1022;/books/935480/
183;Школа хороших матерей;Чан Джессамин;Inspiria;607;/books/938144/
184;Шумерские мифы. От Всемирного потопа и эпоса о Гильгамеше до бога Энки и птицы Анзуд;Чмеленко Юлия;Манн, Иванов и Фербер;899;/books/876012/
185;Арктический клуб любителей карри;Редд Дани;Дом историй;1512;/books/935888/
186;Семь сестер. Потерянная сестра;Райли Люсинда;Эксмо;1387;/books/925085/
187;Рассказы и повести. 1883-1891;Чехов Антон Павлович;Речь;1798;/books/612889/
188;Вниз, сквозь ветки и кости;Макгвайр Шеннон;Дом историй;1349;/books/935889/
189;К западу от Эдема. Зима в Эдеме. Возвращение в Эдем;Гаррисон Гарри;Азбука;1038;/books/945709/
190;Задача трех тел;Лю Цысинь;Fanzon;875;/books/610958/
191;Северная Корона. Против ветра;Джейн Анна;АСТ;809;/books/945035/
192;Пер Гюнт;Ибсен Хенрик;Речь;1688;/books/707136/
193;Многорукий бог далайна;Логинов Святослав Владимирович;Азбука;986;/books/937238/
194;"Между ""привет"" и ""прощай""";Скотт Эмма;Freedom;690;/books/929742/
195;Сперонара;Дюма Александр;Вече;543;/books/939319/
196;Пленённая принцесса;Ларк Софи;Freedom;711;/books/935165/
197;Тайная история;Тартт Донна;Corpus;1135;/books/466703/
198;Томас-бард;Кашнер Эллен;Аркадия;192;/books/775736/
199;Капитан Фракасс;Готье Теофиль;Издательский дом Мещерякова;329;/books/581590/
200;Ересь Хоруса. Книга I. Возвышение Хоруса. Лживые боги. Галактика в огне;Абнетт, Макнилл, Каунтер;Фантастика;1855;/books/652646/
201;Портрет Лукреции. Трагическая история Медичи;О`Фаррелл Мэгги;Inspiria;650;/books/944365/
202;Жажда власти 4. Рестарт;Тармашев Сергей Сергеевич;АСТ;809;/books/940195/
203;Крылья к резюме обязательны!;Мамаева Надежда Николаевна;Т8;1176;/books/940423/
204;Лисья нора;Сакавич Нора;Popcorn Books;528;/books/736909/
205;Старшая Эдда;Без автора;Манн, Иванов и Фербер;857;/books/921954/
206;Там, где раки поют;Оуэнс Делия;Фантом Пресс;805;/books/728444/
207;Сезон отравленных плодов;Богданова Вера Олеговна;Редакция Елены Шубиной;669;/books/850414/
208;Полное собрание романов, повестей, рассказов в одном томе;Булгаков Михаил Афанасьевич;Альфа-книга;854;/books/170798/
209;Индийские мифы. От Кришны и Шивы до Вед и Махабхараты;Паттанаик Девдатт;Манн, Иванов и Фербер;1034;/books/802875/
210;В поисках утраченного времени. В 2-х томах. Т.1. В сторону Свана. Под сенью девушек в цвету. Германт;Пруст Марсель;Альфа-книга;2592;/books/199745/
211;Арианна и Орден темного ангела;Рэй Анна;Альфа-книга;84;/books/582773/
212;Бабушка велела кланяться и передать, что просит прощения;Бакман Фредрик;Синдбад;632;/books/835734/
213;2666;Боланьо Роберто;АСТ;1699;/books/877667/
214;Что осталось от меня - твоё;Скотт Стефани;Аркадия;245;/books/796353/
215;Князь Серебряный;Толстой Алексей Константинович;Речь;1028;/books/631524/
216;Домашний зверинец;Готье Теофиль;Текст;110;/books/743510/
217;Дьявол носит черный;Шэн Л. Дж.;Freedom;607;/books/927161/
218;Чудовища рая;Хермансон Мари;Аркадия;238;/books/775737/
219;Молчание цвета;Абгарян Наринэ Юрьевна;АСТ;649;/books/901282/
220;Зенитчик;Полищук Вадим Васильевич;АСТ;1031;/books/948205/
221;Одиссея;Гомер;Верже;3773;/books/632077/
222;Шестерка воронов;Бардуго Ли;АСТ;623;/books/635534/
223;1984;Оруэлл Джордж;Текст;461;/books/790566/
224;Подросток;Достоевский Федор Михайлович;Речь;1199;/books/604773/
225;Ходящие в ночи. Книга 1. Жнецы страданий;Харитонова, Казакова;Т8;627;/books/936757/
226;Аратта. Книга 7. Золотые корабли;Семенова, Гурова;Азбука;564;/books/941869/
227;Брак по любви;Али Моника;Синдбад;887;/books/925145/
228;Наследница древней магии;Казакова Светлана;Альфа-книга;113;/books/817430/
229;Колымские рассказы;Шаламов Варлам Тихонович;Время;106;/books/635524/
230;Другая жизнь;Чапмен Джоди;Синдбад;843;/books/925147/
231;Испанский любовный обман;Армас Елена;Inspiria;497;/books/925670/
232;Карта небесной сферы, или Тайный меридиан;Перес-Реверте Артуро;Иностранка;753;/books/943587/
233;Унесенные ветром. Комплект из 2-х книг;Митчелл Маргарет;Эксмо;1316;/books/932825/
234;Бисцион. Книга 2;Шерри Ана;Эксмо-Пресс;614;/books/937917/
235;Пепел;Сью Ники;Freedom;607;/books/941484/
236;Правда;Пратчетт Терри;Эксмо;625;/books/932883/
237;Состоятельная женщина. В 2-х книгах;Брэдфорд Барбара Тейлор;Текст;816;/books/786763/
238;Наследники земли;Фальконес Ильдефонсо;Азбука;963;/books/949447/
239;Что видно отсюда;Леки Марьяна;Текст;192;/books/777803/
240;Хоббит, или Туда и обратно;Толкин Джон Рональд Руэл;АСТ;1304;/books/701977/
241;Цыпленок Лисы Патрикеевны;Донцова Дарья Аркадьевна;Эксмо;540;/books/947644/
242;Бесконечная шутка;Уоллес Дэвид Фостер;АСТ;1991;/books/671224/
243;Рубиновый лес;Гор Анастасия;Эксмо;711;/books/925674/
244;Убийство в городе без имени;Хигасино Кэйго;Inspiria;607;/books/941612/
245;Ходящие в ночи. Книга 2. Наследники скорби;Харитонова, Казакова;Т8;676;/books/936755/
246;Черные кувшинки;Бюсси Мишель;Фантом Пресс;832;/books/824613/
247;Воздушный атташе;Журавлева Юлия Викторовна;Т8;1266;/books/948701/
248;Ярмарка тщеславия. В 2-х книгах.;Теккерей Уильям Мейкпис;Речь;1846;/books/635818/
249;Качели судьбы;Бадани Седжал;Аркадия;413;/books/784083/
250;Вода в решете. Апокриф колдуньи;Бжезинская Анна;АСТ;740;/books/948213/
251;Рассказы и повести. 1892-1903;Чехов Антон Павлович;Речь;1798;/books/612895/
252;Королевство крыльев и руин;Маас Сара Дж.;Азбука;918;/books/914292/
253;Протагонист;Володина Ася;Редакция Елены Шубиной;669;/books/882036/
254;Скандал на драконьем факультете;Орлова Тальяна;Феникс;633;/books/948228/
255;Шпионка на отборе у дракона;Миленина Лидия Сергеевна;АСТ;513;/books/947452/
256;Русский роман;Шалев Меир;Текст;1142;/books/787883/
257;Золотая муха;Хмелевская Иоанна;Аркадия;557;/books/896605/
258;Лавр;Водолазкин Евгений Германович;Редакция Елены Шубиной;986;/books/364570/
259;Ледяное пламя;Ломтева Ольга;Т8;1668;/books/945919/
260;Записки о Шерлоке Холмсе;Дойл Артур Конан;Издательский дом Мещерякова;566;/books/621724/
261;Остров русалок;Си Лиза;Аркадия;554;/books/869226/
262;Семейная хроника Уопшотов. Скандал в семействе Уопшотов;Чивер Джон;Текст;528;/books/821297/
263;Дом, в котором... (подарочное издание);Петросян Мариам;Livebook;1826;/books/560484/
264;Имя розы;Эко Умберто;Corpus;1505;/books/303783/
265;Королевская магия;Эльденберт Марина;Т8;1303;/books/938697/
266;"По прозвищу ""Малюта""";Берг Александр;АСТ;513;/books/947168/
267;Зимний сад;Ханна Кристин;Фантом Пресс;1127;/books/935674/
268;Мальн. Кровь и стекло;Салье Мира;Freedom;607;/books/940108/
269;"Проект ""Аве Мария""";Вейер Энди;АСТ;694;/books/835512/
270;Полный сантехник;Слава Сэ;АСТ;1135;/books/665406/
271;Крах и восход;Бардуго Ли;АСТ;604;/books/656547/
272;Ошибка богов. Отбор для наследника;Олие Ольга;АСТ;513;/books/942894/
273;Мы против вас;Бакман Фредрик;Синдбад;665;/books/728626/
274;Пробуждение Левиафана;Кори Джеймс;Фантастика;773;/books/848591/
275;Некромант в яблоках;Веймар Ника;Эксмо;480;/books/938055/
276;Все, чего я не сказала;Инг Селеста;Фантом Пресс;805;/books/578116/
